,game_code,date,team,side,opp,pos,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,GDP
26,TEX-2021-05-14,2021-05-14,TEX,A,HOU,C,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0
27,TEX-2021-05-15,2021-05-15,TEX,A,HOU,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TEX-2021-05-16,2021-05-16,TEX,A,HOU,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1
29,TEX-2021-05-17,2021-05-17,TEX,H,NYY,C,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0
30,TEX-2021-05-19,2021-05-19,TEX,H,NYY,C,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
31,TEX-2021-05-21,2021-05-21,TEX,H,HOU,C,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0
32,TEX-2021-05-22,2021-05-22,TEX,H,HOU,C,4,3,1,1,1,0,0,2,1,0,0,0,0,0,0
33,TEX-2021-05-23,2021-05-23,TEX,H,HOU,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,TEX-2021-05-25,2021-05-25,TEX,A,LAA,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
35,TEX-2021-05-26,2021-05-26,TEX,A,LAA,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TEX-2021-05-27,2021-05-27,TEX,A,SEA,C,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0
37,TEX-2021-05-28,2021-05-28,TEX,A,SEA,C,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0
38,TEX-2021-05-30,2021-05-30,TEX,A,SEA,C,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
39,TEX-2021-06-01,2021-06-01,TEX,A,COL,C,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,TEX-2021-06-03,2021-06-03,TEX,A,COL,C,4,4,1,1,0,0,1,2,0,0,1,0,0,0,1
41,TEX-2021-06-04,2021-06-04,TEX,H,TBR,C,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0
42,TEX-2021-06-05,2021-06-05,TEX,H,TBR,C,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
43,TEX-2021-06-08,2021-06-08,TEX,H,SFG,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,2
44,TEX-2021-06-09,2021-06-09,TEX,H,SFG,PH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,TEX-2021-06-11,2021-06-11,TEX,A,LAD,C,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
46,TEX-2021-06-15,2021-06-15,TEX,A,HOU,C,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
47,TEX-2021-06-18,2021-06-18,TEX,H,MIN,C,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0
48,TEX-2021-06-19,2021-06-19,TEX,H,MIN,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,TEX-2021-06-20,2021-06-20,TEX,H,MIN,C,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0
50,TEX-2021-06-21,2021-06-21,TEX,H,OAK,C,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0
51,TEX-2021-06-22,2021-06-22,TEX,H,OAK,C,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
52,TEX-2021-06-24,2021-06-24,TEX,H,OAK,C,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0
53,TEX-2021-06-26,2021-06-26,TEX,H,KCR,C,5,5,1,1,1,0,0,2,0,0,1,0,0,0,0
54,TEX-2021-07-24,2021-07-24,TEX,A,HOU,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
55,TEX-2021-07-28,2021-07-28,TEX,H,ARI,C,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
56,TEX-2021-08-01,2021-08-01,TEX,H,SEA,C,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
57,TEX-2021-08-03,2021-08-03,TEX,H,LAA,C,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0
58,TEX-2021-08-05,2021-08-05,TEX,H,LAA,C,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0
59,TEX-2021-08-07,2021-08-07,TEX,A,OAK,C,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0
60,TEX-2021-08-12,2021-08-12,TEX,A,SEA,C,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0
61,TEX-2021-08-13,2021-08-13,TEX,H,OAK,C,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
62,TEX-2021-08-15,2021-08-15,TEX,H,OAK,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
63,TEX-2021-08-18,2021-08-18,TEX,H,SEA,C,3,3,0,2,2,0,0,1,0,0,0,0,0,0,0
64,TEX-2021-08-21,2021-08-21,TEX,A,BOS,C,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0
65,TEX-2021-08-23,2021-08-23,TEX,A,BOS,C,5,4,0,0,0,0,0,1,1,0,1,0,0,0,0
66,TEX-2021-08-24,2021-08-24,TEX,A,CLE,C,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0
67,TEX-2021-08-25,2021-08-25,TEX,A,CLE,C,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0
68,TEX-2021-08-26,2021-08-26,TEX,A,CLE,C,4,3,1,2,1,0,0,1,1,0,1,0,0,0,0
69,TEX-2021-08-27,2021-08-27,TEX,H,HOU,C,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0
70,TEX-2021-08-28,2021-08-28,TEX,H,HOU,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
71,TEX-2021-08-29,2021-08-29,TEX,H,HOU,C,5,5,2,2,1,0,0,1,0,0,0,0,0,0,0
72,TEX-2021-09-01,2021-09-01,TEX,H,COL,C,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0
73,TEX-2021-09-04,2021-09-04,TEX,A,LAA,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1
74,TEX-2021-09-06,2021-09-06,TEX,A,LAA,C,4,4,0,2,1,0,0,2,0,0,0,0,0,0,1
75,TEX-2021-09-08,2021-09-08,TEX,A,ARI,C,4,3,1,1,0,0,0,3,1,1,0,0,0,0,0
76,TEX-2021-09-10,2021-09-10,TEX,A,OAK,C,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0
77,TEX-2021-09-13,2021-09-13,TEX,H,HOU,C,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0
78,TEX-2021-09-14,2021-09-14,TEX,H,HOU,C,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0
79,TEX-2021-09-17,2021-09-17,TEX,H,CHW,C,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
80,TEX-2021-09-19,2021-09-19,TEX,H,CHW,C,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
81,TEX-2021-09-21,2021-09-21,TEX,A,NYY,C,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0
82,TEX-2021-09-22,2021-09-22,TEX,A,NYY,C,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0
83,TEX-2021-09-24,2021-09-24,TEX,A,BAL,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,TEX-2021-09-25,2021-09-25,TEX,A,BAL,C,3,3,1,3,0,0,1,1,0,0,0,0,0,0,0
85,TEX-2021-09-26,2021-09-26,TEX,A,BAL,C,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0
86,TEX-2021-09-29,2021-09-29,TEX,H,LAA,C,4,4,1,2,0,0,0,0,0,0,2,0,0,0,0
87,TEX-2021-10-01,2021-10-01,TEX,H,CLE,C,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0
88,TEX-2021-10-03,2021-10-03,TEX,H,CLE,C,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
