,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
71,HOU-2014-09-16,2014-09-16,CLE,A,HOU,4,1.1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1
72,HOU-2014-09-18,2014-09-18,CLE,A,HOU,4,1.0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,1
73,MIN-2014-09-19,2014-09-19,CLE,A,MIN,5,1.0,1,2,1,0,0,0,0,2,0,0,0,1,2,2,0,0
74,CLE-2014-09-24,2014-09-24,CLE,H,KCR,4,1.0,0,1,1,0,0,0,0,1,0,0,0,1,2,2,0,4
75,CLE-2014-09-26,2014-09-26,CLE,H,TBR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
0,HOU-2015-04-08,2015-04-08,CLE,A,HOU,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,99
1,CLE-2015-04-11,2015-04-11,CLE,H,DET,8,0.2,4,3,1,0,0,3,1,0,0,0,0,1,4,3,0,2
2,CLE-2015-04-15,2015-04-15,CLE,H,CHW,5,1.0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,3
3,MIN-2015-04-18,2015-04-18,CLE,A,MIN,4,1.0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2
4,CHW-2015-04-20,2015-04-20,CLE,A,CHW,8,0.1,4,6,2,0,0,1,0,1,0,0,0,2,4,4,0,1
5,CHW-2015-04-21,2015-04-21,CLE,A,CHW,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
6,DET-2015-04-26,2015-04-26,CLE,A,DET,6,1.0,1,2,0,0,0,1,0,0,0,1,0,3,2,0,1,4
7,CLE-2015-04-29,2015-04-29,CLE,H,KCR,5,1.0,0,2,1,0,0,0,0,1,0,0,0,0,4,2,0,2
